Model,Accuracy
Logistic Regression,0.953216374269006
K-Nearest Neighbors,0.9473684210526316
Linear SVM,0.953216374269006
Kernel SVM (RBF),0.9473684210526316
Naïve Bayes,0.9649122807017544
Decision Tree,0.9415204678362572
Random Forest,0.935672514619883
XGBoost,0.953216374269006
